Symbols,IFNNY,INTC,MCHP,ON,STM,SWKS
IFNNY,47.94537327417489,68.57277592080146,152.4410036937746,34.854983112513494,31.659513713073412,203.79240511686726
INTC,68.57277592080146,121.68647022021963,237.43981423489467,54.78667444119331,46.39766248439174,311.99598839852547
MCHP,152.4410036937746,237.43981423489467,527.0322052389309,117.85016557217111,108.07249135986717,663.3836272022721
ON,34.854983112513494,54.78667444119331,117.85016557217111,29.146431906306077,26.78392296538975,145.3788944894778
STM,31.659513713073412,46.39766248439174,108.07249135986717,26.78392296538975,28.203312221052506,119.3233908240445
SWKS,203.79240511686726,311.99598839852547,663.3836272022721,145.3788944894778,119.3233908240445,1140.450994906024
